# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "00ref/UCSC_hg19_chr19_gene_annotation.gtf" "-o" "08feature_count/out_counts.txt" "04align_out/adrenalAligned.sortedByCoord.out.bam" "04align_out/brainAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	04align_out/adrenalAligned.sortedByCoord.out.bam	04align_out/brainAligned.sortedByCoord.out.bam
MOB3A	chr19;chr19;chr19;chr19;chr19	2071035;2076810;2078139;2085174;2096225	2073423;2077012;2078678;2085327;2096269	-;-;-;-;-	3331	0	0
IZUMO4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2096868;2096868;2097251;2097251;2097423;2097423;2097928;2097928;2098051;2098051;2098286;2098286;2098435;2098435;2098786;2098786;2098975;2099254;2099254	2097161;2097161;2097331;2097331;2097494;2097494;2097954;2097954;2098126;2098126;2098333;2098333;2098449;2098449;2098803;2098803;2099028;2099583;2099583	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1015	0	0
AP3D1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2100993;2100994;2108686;2108686;2109085;2109085;2109872;2109872;2110135;2110135;2110706;2110706;2111284;2111284;2111678;2111678;2112859;2113335;2114124;2114124;2114747;2114747;2115218;2115218;2115537;2115537;2116206;2116206;2116604;2116604;2117221;2117221;2118600;2118600;2120861;2120861;2121162;2121162;2121733;2121733;2123357;2123357;2123829;2123829;2127151;2127151;2129089;2129089;2129317;2130407;2130501;2132470;2132470;2137010;2137010;2137726;2137726;2138618;2138618;2151238;2151238	2102267;2102267;2108765;2108765;2109206;2109206;2109957;2109957;2110223;2110223;2110895;2110895;2111331;2111331;2111827;2111827;2112930;2113412;2114301;2114301;2114820;2114820;2115417;2115417;2115612;2115612;2116277;2116277;2116745;2116745;2117366;2117366;2118831;2118831;2121091;2121091;2121310;2121310;2121878;2121878;2123405;2123405;2123878;2123878;2127200;2127200;2129162;2129123;2129456;2130536;2130536;2132577;2132577;2137090;2137090;2137806;2137806;2138713;2138713;2151556;2151556	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5014	0	0
DOT1L	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2164148;2180712;2185854;2189731;2191011;2193688;2194514;2199883;2202699;2206728;2207573;2208934;2210399;2210620;2211098;2211750;2213538;2213848;2214470;2216280;2216954;2217771;2220107;2221975;2223280;2225387;2226182;2229784	2164264;2180755;2185928;2189794;2191239;2193782;2194576;2199938;2202778;2206796;2207679;2208975;2210509;2210854;2211211;2211841;2213639;2213985;2214595;2216764;2217089;2217917;2220221;2222558;2223485;2225451;2227126;2232577	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7436	0	0
PLEKHJ1	chr19;chr19;chr19;chr19;chr19;chr19	2233155;2233997;2234149;2235761;2235922;2236154	2233904;2234060;2234239;2235827;2235989;2236328	-;-;-;-;-;-	1215	0	0
MIR1227	chr19	2234061	2234148	-	88	0	0
SF3A2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2236816;2243381;2244543;2244732;2245445;2246752;2246881;2247593;2247766	2236900;2243543;2244614;2244778;2245554;2246801;2247021;2247661;2248678	+;+;+;+;+;+;+;+;+	1650	0	0
AMH	chr19;chr19;chr19;chr19;chr19	2249113;2250336;2250651;2250848;2251098	2249743;2250478;2250759;2251007;2252072	+;+;+;+;+	2018	0	0
MIR4321	chr19	2250638	2250717	+	80	0	0
JSRP1	chr19;chr19;chr19;chr19;chr19;chr19;chr19	2252250;2252911;2253619;2254186;2254444;2255205;2256382	2252795;2253002;2253792;2254300;2254481;2255343;2256422	-;-;-;-;-;-;-	1145	0	0
OAZ1	chr19;chr19;chr19;chr19;chr19	2269520;2271384;2271781;2272734;2272971	2269743;2271529;2271953;2272819;2273487	+;+;+;+;+	1146	5	0
C19orf35	chr19;chr19;chr19;chr19	2274631;2278583;2280849;2282086	2276488;2279112;2280934;2282181	-;-;-;-	2570	0	0
LINGO3	chr19;chr19	2289774;2308075	2291821;2308156	-;-	2130	0	0
LSM7	chr19;chr19;chr19;chr19	2321520;2324124;2328386;2328560	2321821;2324195;2328476;2328614	-;-;-;-	520	0	0
SPPL2B	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2328629;2328629;2334601;2334601;2337442;2337442;2338751;2338751;2339068;2339068;2339823;2339823;2340075;2340075;2340896;2340896;2343209;2343209;2343963;2343963;2344360;2344360;2344551;2344551;2345251;2345251;2351432;2351432;2352944;2352944	2328774;2328774;2334720;2334720;2337624;2337624;2338840;2338840;2339207;2339207;2339965;2339965;2340170;2340170;2341012;2341012;2343290;2343290;2344037;2344037;2344422;2344422;2344650;2344650;2345328;2345328;2351592;2351655;2355100;2355100	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3814	0	0
TMPRSS9	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2389784;2396537;2399050;2401973;2403080;2405372;2408354;2410256;2413698;2415668;2416536;2418000;2421852;2424087;2425000;2425355;2425925	2389925;2396664;2399191;2402014;2403193;2405543;2408628;2410392;2414016;2415839;2416807;2418136;2422245;2424255;2425265;2425491;2426086	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3180	0	0
TIMM13	chr19;chr19;chr19	2425622;2427254;2427412	2427044;2427322;2427875	-;-;-	1956	0	0
LMNB2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2428164;2431546;2431781;2432414;2433824;2434293;2434786;2434999;2438161;2438373;2444402;2456668	2430950;2431656;2431900;2432521;2434103;2434513;2434911;2435169;2438286;2438529;2444538;2456958	-;-;-;-;-;-;-;-;-;-;-;-	4635	0	0
GADD45B	chr19;chr19;chr19;chr19	2476123;2476527;2477027;2477486	2476400;2476628;2477249;2478257	+;+;+;+	1375	0	0
GNG7	chr19;chr19;chr19;chr19;chr19	2511218;2520606;2555147;2646222;2702644	2515145;2520723;2555186;2646278;2702746	-;-;-;-;-	4246	0	0
DIRAS1	chr19;chr19	2714565;2721302	2717873;2721390	-;-	3398	0	0
SLC39A3	chr19;chr19;chr19;chr19;chr19	2732523;2734524;2737046;2739943;2739943	2733483;2737377;2737377;2740074;2740074	-;-;-;-;-	3947	0	0
SGTA	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2754712;2757335;2757691;2759255;2761458;2762504;2763651;2765184;2767134;2767578;2768967;2783231	2755931;2757455;2757780;2759292;2761520;2762642;2763755;2765283;2767218;2767684;2769089;2783354	-;-;-;-;-;-;-;-;-;-;-;-	2315	0	0
THOP1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2785506;2790419;2794762;2796079;2799687;2805014;2806915;2807440;2808241;2810302;2810638;2811596;2813113	2785676;2790631;2794910;2796186;2799789;2805174;2807050;2807806;2808442;2810488;2810766;2811732;2813599	+;+;+;+;+;+;+;+;+;+;+;+;+	2550	0	0
ZNF554	chr19;chr19;chr19;chr19;chr19	2819872;2823038;2827615;2832301;2833679	2820122;2823110;2827741;2832492;2836733	+;+;+;+;+	3698	0	0
ZNF555	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2841433;2841433;2850585;2850585;2851466;2851466;2852378;2852381	2841573;2841573;2850711;2850711;2851649;2851649;2860472;2860472	+;+;+;+;+;+;+;+	8547	0	0
ZNF556	chr19;chr19;chr19;chr19	2867333;2873494;2876091;2877271	2867422;2873620;2876274;2878501	+;+;+;+	1632	0	0
ZNF57	chr19;chr19;chr19;chr19	2900896;2915520;2916076;2916922	2901046;2915646;2916247;2918474	+;+;+;+	2003	0	0
ZNF77	chr19;chr19;chr19;chr19	2933216;2936522;2939279;2944836	2934813;2936702;2939405;2944969	-;-;-;-	2040	0	0
TLE6	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2977536;2977536;2978196;2980098;2980098;2981536;2981536;2982146;2982146;2986827;2986827;2986981;2986981;2987354;2987354;2987722;2987722;2987896;2987896;2988089;2988089;2989059;2989059;2989533;2989533;2991841;2991841;2993430;2993430;2994017;2994017;2994898;2994898	2977617;2977608;2978282;2980180;2980180;2981581;2981581;2982187;2982187;2986889;2986889;2987236;2987236;2987370;2987370;2987788;2987788;2987972;2987972;2988126;2988126;2989311;2989311;2989783;2989783;2991982;2991982;2993580;2993580;2994093;2994093;2995182;2995182	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2017	0	0
TLE2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	2997636;2997636;2997636;3000645;3000645;3002351;3002351;3002351;3005435;3005435;3005435;3005719;3005719;3005719;3006418;3006418;3006418;3008867;3008867;3008867;3009540;3009540;3009540;3011020;3011020;3011020;3013667;3013667;3013667;3014568;3014568;3014568;3015651;3015651;3015651;3017838;3017838;3019281;3019281;3019697;3019697;3019697;3025018;3025018;3025018;3027827;3027827;3027827;3028317;3028317;3028317;3028704;3028704;3028704;3028879;3029548;3045724;3047561	2997953;2997953;2997953;3000721;3000721;3002501;3002501;3002501;3005582;3005582;3005582;3005966;3005966;3005966;3006667;3006667;3006667;3008943;3008943;3008943;3009700;3009700;3009700;3011158;3011158;3011158;3013816;3013816;3013816;3014612;3014612;3014612;3015758;3015758;3015758;3017857;3017857;3019464;3019461;3019771;3019771;3019771;3025080;3025080;3025080;3027871;3027871;3027871;3028380;3028380;3028380;3028801;3028801;3028801;3029165;3029612;3045797;3047633	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2920	3064	661
AES	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3052908;3052908;3052908;3054118;3054118;3054118;3055662;3055662;3055662;3056310;3056310;3056310;3057677;3057677;3057677;3061158;3061158;3061158;3062172;3062172;3062698	3054038;3054035;3054038;3054192;3054192;3054192;3055724;3055724;3055724;3056354;3056354;3056354;3057740;3057740;3057740;3061255;3061255;3061255;3062371;3062371;3062964	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1943	22819	18380
GNA11	chr19;chr19;chr19;chr19;chr19;chr19;chr19	3094408;3110147;3113328;3114942;3118922;3119204;3120987	3094785;3110331;3113482;3115070;3119051;3119357;3121454	+;+;+;+;+;+;+	1599	1242	1055
GNA15	chr19;chr19;chr19;chr19;chr19;chr19;chr19	3136191;3148589;3150129;3151705;3155821;3157726;3162791	3136593;3148773;3150283;3151833;3155950;3157879;3163766	+;+;+;+;+;+;+	2132	342	161
S1PR4	chr19	3178736	3180330	+	1595	684	3
NCLN	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3185875;3192468;3193282;3196181;3198815;3201521;3203754;3204003;3204571;3205937;3206150;3206260;3207196;3207389;3207627	3186212;3192658;3193426;3196275;3198895;3201624;3203842;3204142;3204749;3206024;3206188;3206423;3207249;3207467;3209573	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3733	2908	843
CELF5	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3224701;3224702;3225483;3250983;3250983;3250983;3273870;3273870;3273870;3275854;3275854;3275854;3278029;3278029;3278029;3281197;3281197;3281197;3282124;3282124;3282124;3282350;3282350;3282425;3284900;3284900;3284900;3285940;3285940;3285940;3290229;3290270;3290270;3293317;3293317;3293317;3296756;3296756	3224996;3224996;3225616;3251065;3251065;3251065;3273921;3273921;3273921;3275982;3275982;3275982;3278108;3278108;3278108;3281343;3281343;3281343;3282265;3282265;3282265;3282496;3282496;3282496;3284962;3284962;3284962;3286023;3286023;3286023;3290372;3290372;3290372;3293484;3297073;3293484;3297073;3297073	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5258	0	2192
NFIC	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3359561;3359561;3366565;3366565;3366565;3381710;3381710;3381710;3381710;3381710;3425104;3425104;3425104;3425104;3425104;3433516;3433516;3433516;3433516;3433516;3434275;3434275;3434275;3434275;3434275;3435081;3435081;3435081;3435081;3435081;3449012;3449012;3449012;3449012;3449012;3452480;3452480;3452480;3452480;3452480;3453761;3453761;3456548;3456548;3456548;3456548;3462750;3462750;3462750;3462750;3462750	3359683;3359683;3366664;3366664;3366664;3382241;3382241;3382241;3382241;3382241;3425175;3425175;3425175;3425175;3425175;3433590;3433590;3433590;3433590;3433590;3434398;3434398;3434398;3434398;3434398;3435205;3435205;3435205;3435205;3435205;3449137;3449137;3449137;3449137;3449137;3452664;3452664;3452664;3452664;3452664;3453914;3453914;3456633;3456633;3456633;3456633;3469215;3469215;3469215;3469215;3469215	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8168	9501	7873
C19orf77	chr19;chr19;chr19;chr19	3474405;3478417;3478816;3480395	3474994;3478476;3478927;3480540	-;-;-;-	908	49	158
DOHH	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3490819;3490819;3492260;3492260;3494026;3494026;3496539;3496539;3500531;3500559	3491809;3491809;3492497;3492497;3494102;3494102;3496884;3496884;3500621;3500938	-;-;-;-;-;-;-;-;-;-	2060	505	888
FZR1	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3506295;3522954;3522954;3522954;3525866;3525866;3525866;3526118;3526118;3526118;3526257;3526257;3526257;3526978;3526978;3527629;3527629;3530790;3530790;3530790;3531712;3531712;3531712;3531909;3531909;3531909;3532415;3532415;3532415;3533292;3533292;3533292;3534419;3534419;3534419;3534793;3534793;3534793	3506472;3523056;3523056;3523056;3525991;3525991;3525991;3526181;3526181;3526181;3526384;3526384;3526384;3527060;3527060;3527812;3527812;3530855;3530855;3530855;3531814;3531814;3531814;3532093;3532093;3532093;3532648;3532648;3532648;3533396;3533396;3533396;3534511;3534520;3534511;3536755;3536755;3536755	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3624	0	0
MFSD12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3538263;3538263;3542774;3544197;3544807;3544807;3544807;3546072;3546072;3546072;3546253;3546253;3546253;3547270;3547270;3547270;3547453;3547453;3547453;3547846;3547846;3547846;3548121;3548121;3548121;3550982;3550982;3550982;3557104;3557104;3557104	3538754;3538754;3542975;3544730;3544937;3544937;3544937;3546166;3546166;3546166;3546423;3546423;3546423;3547362;3547362;3547362;3547545;3547545;3547545;3548028;3548028;3548028;3548265;3548265;3548265;3551192;3551192;3551192;3557571;3557571;3557571	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2818	0	0
C19orf71	chr19;chr19;chr19;chr19	3539155;3543233;3543553;3543827	3539258;3543471;3543678;3544028	+;+;+;+	671	0	0
HMG20B	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3572943;3573290;3573690;3574381;3575538;3576259;3576551;3576890;3577979;3578507	3572992;3573345;3573798;3574584;3575658;3576305;3576623;3577105;3578111;3579081	+;+;+;+;+;+;+;+;+;+	1584	0	0
GIPC3	chr19;chr19;chr19;chr19;chr19;chr19	3585569;3586493;3586812;3589441;3589829;3590037	3585820;3586678;3586992;3589553;3589910;3593539	+;+;+;+;+;+	4317	0	0
TBXA2R	chr19;chr19;chr19;chr19;chr19;chr19;chr19	3594504;3594504;3595735;3599847;3599847;3606528;3606528	3595931;3595074;3595931;3600715;3600715;3606831;3606831	-;-;-;-;-;-;-	2601	0	0
C19orf29-AS1	chr19;chr19;chr19;chr19	3607245;3611198;3611764;3612783	3607407;3611263;3612301;3613928	+;+;+;+	1913	0	0
C19orf29	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3610627;3610643;3611902;3613056;3613056;3613462;3613462;3614395;3614395;3618873;3618873;3619078;3619078;3620125;3620125;3620705;3620705;3623686;3623686;3626594;3626594	3612411;3610969;3612411;3613363;3613363;3613584;3613584;3614587;3614587;3618987;3618987;3619240;3619240;3620270;3620270;3620800;3620800;3624160;3624160;3626813;3626813	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3624	0	0
PIP5K1C	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3630179;3630179;3633435;3638882;3638882;3641703;3641703;3642905;3642905;3643241;3643241;3644085;3644085;3645972;3645972;3647336;3647336;3648623;3648623;3651824;3651824;3653288;3653288;3656403;3656403;3660964;3660964;3661869;3661869;3664820;3664820;3667320;3667320;3700295;3700295	3633167;3633167;3633518;3639014;3639014;3641807;3641807;3642937;3642937;3643379;3643379;3644249;3644249;3646056;3646056;3647384;3647384;3648706;3648706;3652029;3652029;3653587;3653587;3656555;3656555;3661081;3661081;3661999;3661999;3664912;3664912;3667351;3667351;3700477;3700477	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5082	0	0
TJP3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3728374;3728602;3730026;3730353;3731933;3733751;3734283;3735564;3735867;3736163;3738553;3738895;3740550;3743937;3746009;3746483;3746774;3747792;3750136;3750580	3728478;3728711;3730128;3730704;3732036;3733910;3734433;3735637;3735933;3736319;3738661;3739132;3740761;3744032;3746079;3746693;3746874;3748079;3750182;3750682	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2859	0	0
APBA3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3750771;3751187;3751432;3752506;3752818;3753763;3754017;3754193;3759559;3759687;3761534	3751095;3751327;3751551;3752718;3752988;3753924;3754103;3754338;3759598;3760299;3761673	-;-;-;-;-;-;-;-;-;-;-	2158	0	0
MRPL54	chr19;chr19;chr19	3762665;3765164;3767259	3762816;3765329;3767563	+;+;+	623	0	0
RAX2	chr19;chr19;chr19	3769089;3771525;3772161	3770957;3771749;3772219	-;-;-	2153	0	0
MATK	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3777967;3777967;3777967;3778507;3778507;3778507;3778990;3778990;3778990;3779376;3779376;3779376;3779531;3779531;3779531;3779696;3779696;3779696;3781605;3781605;3781605;3783124;3783124;3783124;3783812;3783812;3783812;3784122;3784122;3784122;3784336;3784336;3784336;3784823;3784823;3784823;3785062;3786167;3786167;3789271;3801530	3778420;3778420;3778420;3778593;3778593;3778593;3779185;3779185;3779185;3779449;3779449;3779449;3779615;3779615;3779615;3779795;3779795;3779795;3781670;3781670;3781670;3783217;3783217;3783217;3784031;3784031;3784031;3784237;3784237;3784237;3784449;3784449;3784449;3784882;3784882;3784882;3785284;3786415;3786415;3789402;3801810	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2551	0	0
ZFR2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3804022;3807170;3808870;3810748;3811270;3813818;3816672;3819043;3820180;3821338;3822079;3823244;3825228;3827469;3831301;3831658;3833662;3834771;3851804;3851811;3855400;3868963;3868963;3868963	3806123;3807267;3808981;3810843;3811364;3813956;3816843;3819233;3820288;3821477;3822198;3823401;3825405;3827651;3831554;3831876;3833776;3834981;3852612;3852612;3855557;3869027;3869027;3869027	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5724	0	0
ATCAY	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3880618;3885725;3902485;3905432;3907732;3908266;3909484;3910801;3913756;3917740;3918804;3920764;3924581	3881006;3885842;3902543;3905653;3907917;3908368;3909615;3910887;3913854;3917775;3918875;3920796;3928080	+;+;+;+;+;+;+;+;+;+;+;+;+	5036	0	0
ITGB1BP3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3933101;3933456;3936573;3937238;3938601;3939898;3941069;3942081	3933176;3933695;3936663;3937286;3938757;3939969;3941175;3942414	+;+;+;+;+;+;+;+	1126	0	0
DAPK3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3958452;3960057;3961007;3963641;3963869;3964242;3964629;3969672	3959635;3960102;3961159;3963667;3963917;3964371;3964989;3969826	-;-;-;-;-;-;-;-	2105	0	0
MIR637	chr19	3961412	3961510	-	99	0	0
EEF2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3976054;3977213;3977426;3977817;3979327;3979806;3980512;3980839;3981337;3981945;3982244;3982805;3983108;3984134;3985376	3976745;3977345;3977608;3978170;3979434;3980064;3980707;3980977;3981450;3982050;3982422;3983016;3983289;3984348;3985461	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3158	0	0
SNORD37	chr19	3982505	3982570	-	66	0	0
PIAS4	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	4007749;4012921;4024034;4028144;4028508;4028718;4028929;4033098;4033418;4037372;4037614	4007785;4013347;4024118;4028185;4028598;4028846;4029034;4033171;4033578;4037502;4038067	+;+;+;+;+;+;+;+;+;+;+	1737	0	0
ZBTB7A	chr19;chr19;chr19	4045216;4053969;4066680	4048242;4055245;4066816	-;-;-	4441	0	0
MAP2K2	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	4090320;4094451;4095386;4097277;4099199;4101017;4101227;4102374;4110507;4117417;4123781	4090706;4094496;4095447;4097341;4099412;4101141;4101278;4102451;4110653;4117627;4124126	-;-;-;-;-;-;-;-;-;-;-	1733	0	0
CREB3L3	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	4153629;4154896;4156992;4159661;4164500;4168348;4170137;4171088;4171380;4171653	4153771;4155024;4157292;4159779;4164637;4168454;4170205;4171172;4171476;4173048	+;+;+;+;+;+;+;+;+;+	2584	0	0
